Date,AAL,AAPL,AMD,GE,NOK,PFE,PINS,PLTR,TWTR,UBER
2020-11-16,12.79,119.082054,83.730003,9.241498,3.81,35.036308,62.619999,15.93,42.73,47.610001
2020-11-17,12.7,120.120506,83.360001,9.561204,3.9,35.652153,63.349998,17.85,42.849998,49.209999
2020-11-18,12.74,119.211861,82.540001,9.671103,3.93,35.929138,64.449997,17.9,43.330002,48.889999
2020-11-19,12.79,117.853889,85.540001,9.721057,3.94,35.800537,65.949997,18.98,43.619999,49.110001
2020-11-20,12.53,118.462982,84.639999,9.651121,3.89,36.30505,66.849998,18.15,44.68,49.259998
2020-11-23,13.56,117.164917,85.309998,9.75103,3.95,36.126987,65.790001,21.040001,44.939999,48.43
2020-11-24,14.82,113.680122,85.07,10.060744,3.97,36.206123,64.029999,23.82,45.23,50.040001
2020-11-25,14.94,114.998154,86.709999,10.440395,4.07,36.136875,67.419998,29.049999,46.43,51.259998
2020-11-27,14.98,115.856873,87.190002,10.49035,4.13,36.829346,69.720001,27.66,46.59,50.799999
2020-11-30,14.13,116.416031,92.660004,10.390441,4.13,37.897724,70.019997,27.110001,46.509998,50.720001
2020-12-01,14.27,118.872368,92.629997,10.170644,4.03,38.985886,68.209999,25.67,46.669998,49.66
2020-12-02,14.86,122.536896,93.739998,10.140671,4.06,40.360924,68.010002,22.51,47.23,49.630001
2020-12-03,16.09,122.896355,92.309998,10.420414,4.06,39.658566,69.699997,24.030001,47.790001,53.09
2020-12-04,16.4,122.756569,94.040001,10.590258,4.02,39.905876,67.309998,23.85,47.73,52.52
2020-12-07,17.209999,122.067596,94.07,10.87,4.03,40.806084,70.309998,28.940001,47.900002,54.860001
2020-12-08,17.629999,123.565353,92.919998,10.850019,4.06,42.101986,69.919998,28.59,47.43,53.799999
2020-12-09,17.16,124.194412,89.830002,10.949926,4.22,41.399624,68.470001,26.629999,47.23,53.009998
2020-12-10,17.99,121.598289,91.660004,11.379532,4.19,41.280918,71.639999,27.040001,51.209999,53.790001
2020-12-11,17.049999,123.056114,91.650002,11.309595,4.2,40.677483,71.129997,27.200001,51.439999,54.349998
2020-12-14,16.700001,122.227356,94.779999,11.149743,4.06,38.788036,69.790001,27.24,52.02,52.630001
2020-12-15,17.01,121.598289,97.120003,10.820046,4,38.293415,70.709999,26.43,52.82,51.459999
2020-12-16,16.860001,127.689186,96.849998,11.099789,4.1,37.432781,70.269997,25.92,54.029999,51
2020-12-17,16.799999,127.619293,96.839996,10.919954,3.99,37.620735,71,27.23,54.630001,50.490002
2020-12-18,16.51,128.507965,95.919998,10.87,4.06,37.274502,70.360001,25.969999,55.869999,50.630001
