Date,Axis Bank,Bajaj Auto,HDFC,HUL,Infosys,Reliance,SBI,Tata Steel,Sun Pharma,Asian Paints
2014-01-01,215.412643,1602.85083,300.463959,507.504211,385.396851,393.896637,145.224609,289.680573,564.886169,448.57962
2014-02-01,243.571823,1636.460938,318.905518,488.328766,397.976257,378.915436,145.805298,279.838806,617.278442,449.244537
2014-03-01,281.005219,1750.685791,357.771362,537.13501,341.58017,440.665558,182.606461,320.344513,550.671448,519.107971
2014-04-01,292.309265,1611.821777,343.151917,504.434418,330.990601,443.415222,199.66983,325.834717,606.569458,479.830566
2014-05-01,353.293671,1645.263672,379.390045,534.732422,306.436127,504.975616,244.133194,386.349213,583.374817,483.9151
2014-06-01,369.696594,1948.556885,392.409058,551.238525,342.852234,485.394928,259.454529,429.70163,659.105835,562.992432
2014-07-01,380.903534,1750.601318,401.654999,617.213135,355.446045,481.233185,235.676758,450.117096,759.424438,602.296082
2014-08-01,386.201294,1944.887695,406.135742,667.409546,379.556458,478.004211,237.676346,426.212555,820.748901,597.50946
2014-09-01,367.246033,2021.658691,419.891205,671.55127,395.783173,452.220428,235.927917,381.18866,823.390137,602.535461
2014-10-01,426.493347,2245.517822,439.500671,664.798523,427.866974,477.980316,260.975983,406.128204,813.524353,629.840027
2014-11-01,467.611664,2271.811523,461.278107,714.099121,463.924896,473.985931,310.516632,392.807739,807.751648,713.879456
2014-12-01,488.025024,2098.688721,458.676392,689.49707,419.562408,426.293182,301.243164,331.434113,794.859192,721.606689
2015-01-01,572.254517,2056.430176,518.419861,846.824097,456.076263,437.869537,299.456085,324.047729,881.258057,823.068359
2015-02-01,551.306458,1850.817139,507.916656,805.063965,482.384033,409.31131,289.747925,291.348328,845.899841,774.641235
2015-03-01,544.745056,1736.262451,492.812103,792.444946,471.794952,394.505981,257.91861,262.964569,983.531677,776.321228
2015-04-01,551.986877,1677.780396,476.599457,771.201721,413.432434,412.755524,260.864868,299.191193,903.819702,732.30957
2015-05-01,568.900818,1992.439209,506.423004,780.55249,430.460205,419.596069,268.689392,272.633301,929.171692,755.443237
2015-06-01,543.043945,2182.345215,514.300415,831.981079,419.455994,484.093903,257.067352,252.880905,841.089294,724.198364
2015-07-01,557.722107,2168.144043,535.379333,844.980835,465.870453,484.674561,264.501617,205.242691,791.588013,850.945801
2015-08-01,496.503082,1979.159668,499.091217,790.349182,473.281616,414.585052,241.709854,192.263,863.699158,819.232483
2015-09-01,485.577454,2027.302734,518.872375,746.129822,501.478851,416.375427,232.074722,181.028809,835.556946,811.991943
2015-10-01,465.392059,2237.822754,532.537109,735.62561,490.934631,458.641968,232.025803,210.801575,855.328613,800.02124
2015-11-01,459.414795,2178.094238,522.294617,748.800903,474.691925,468.39212,244.986771,196.534576,705.322876,813.526672
2015-12-01,440.454163,2223.69165,525.595459,797.737244,481.71347,489.972961,219.50502,221.736771,791.527466,855.536255
2016-01-01,399.93631,2055.520996,509.188049,755.69281,508.011322,500.836029,176.024628,213.620804,842.738586,841.016724
2016-02-01,367.698395,1931.324341,472.101563,767.626282,472.642181,467.690491,154.944717,212.809204,825.410767,821.367004
2016-03-01,435.60379,2111.871094,519.988831,804.351746,531.169128,505.771545,190.061615,272.95282,791.0448,840.871643
2016-04-01,462.746338,2229.701904,550.206604,801.715271,528.072632,480.322021,184.828308,299.479218,783.177246,840.290833
2016-05-01,505.223969,2350.223389,573.458496,786.220093,545.081299,468.785126,200.381485,285.724823,736.261963,952.574768
2016-06-01,522.714783,2410.664063,570.813049,831.271301,510.58429,473.91806,213.880432,275.003143,737.130798,971.498535
2016-07-01,535.061218,2424.798096,610.071045,861.84375,473.820801,496.429749,226.99646,303.067352,800.987732,1084.749634
2016-08-01,589.121948,2680.17627,631.702942,857.307739,457.43045,517.205994,250.285767,323.613983,747.990723,1128.102661
2016-09-01,535.91156,2546.390137,622.379639,811.620178,458.003906,528.987305,248.452347,327.064636,716.955261,1130.876221
2016-10-01,481.26709,2568.643066,616.653564,783.936401,440.069366,515.006165,255.538254,353.315399,718.891174,1041.25061
2016-11-01,464.601746,2412.963623,587.093384,789.641541,434.977386,485.30835,256.083313,362.487854,686.559143,943.791504
2016-12-01,445.068176,2368.098389,589.344604,779.315063,450.696228,528.009583,247.510864,341.653229,608.701355,869.55426
2017-01-01,460.793915,2551.425293,629.84314,806.524536,414.39798,510.068787,257.668976,403.938782,610.441223,947.061646
2017-02-01,500.602783,2479.946533,679.885071,815.720154,451.409698,605.321655,266.786499,421.628571,656.256958,999.399719
2017-03-01,485.421021,2524.227539,705.87262,858.019836,455.200043,644.894165,289.976715,421.628571,664.714478,1045.00647
2017-04-01,504.014984,2581.949707,754.73999,881.551147,409.983307,681.851563,286.85495,392.101929,621.073547,1093.101074
2017-05-01,508.564575,2556.999756,799.373962,1006.139709,435.64624,655.355652,285.962982,441.06546,484.641357,1124.41626
2017-06-01,510.443726,2508.942871,808.62384,1020.098145,417.229553,674.738708,273.600006,475.527832,535.966553,1077.150879
2017-07-01,513.163574,2524.317383,878.586121,1097.535522,457.87677,788.934631,312.549988,495.794617,513.928589,1133.071777
2017-08-01,500.029053,2576.200195,874.472351,1158.438354,414.411804,784.646667,277.350006,567.272339,464.294922,1141.573853
2017-09-01,508.168945,2851.115723,888.291565,1118.280518,406.91864,770.268494,253.75,578.875671,486.381195,1091.636475
2017-10-01,522.401245,2990.408691,891.124329,1176.994751,417.286835,926.508423,305.799988,625.644531,538.501526,1153.838501
2017-11-01,535.335205,3037.833008,912.431885,1212.108887,447.5784,908.5849,320.450012,618.086792,525.413635,1124.15564
2017-12-01,561.702515,3048.38208,923.024109,1310.368408,477.120087,907.058472,309.5,651.251831,555.433044,1134.097046
2018-01-01,592.664063,3062.692139,988.449341,1311.853149,528.238525,946.549316,312.75,657.963623,563.752869,1107.799072
2018-02-01,528.943115,2769.155029,928.073853,1260.80249,539.072693,937.981445,268.75,626.840881,520.937439,1095.849854
2018-03-01,508.768219,2521.574707,931.842651,1279.527344,520.778442,869.389526,250.100006,532.772705,482.062988,1097.661987
2018-04-01,517.407471,2704.210205,958.027649,1445.370728,550.61853,948.469666,246.300003,554.983276,513.931335,1175.478638
2018-05-01,542.62616,2524.556152,1052.396606,1545.556763,565.538635,907.304626,269.200012,537.01886,467.223541,1278.760986
2018-06-01,509.766968,2578.676758,1045.191284,1572.566772,599.900574,958.170044,259.299988,529.926453,545.458984,1238.114014
2018-07-01,549.417725,2477.36084,1081.385376,1671.043457,631.591309,1174.971313,293.399994,525.260376,551.394836,1425.251343
2018-08-01,648.394836,2571.032959,1022.483093,1718.329956,666.294189,1229.565796,308.850006,571.515076,634.641724,1349.279907
2018-09-01,611.590515,2515.565186,994.420349,1551.428345,673.558533,1246.657593,265,551.281921,606.568237,1273.456177
2018-10-01,581.178345,2426.020996,947.91333,1561.271484,635.061646,1051.663086,280.5,524.731873,565.257996,1207.719238
2018-11-01,624.973938,2562.092529,1049.703003,1701.93457,623.497864,1157.483154,284.350006,503.691315,480.491302,1326.675659
2018-12-01,619.03125,2544.960449,1052.330933,1764.485718,617.276855,1110.765869,295.649994,495.712006,420.320099,1355.085449
