Date,ZEEL,LUPIN,NMDC,JSWENERGY,TRENT,UBL,PFIZER,WHIRLPOOL,VGUARD,MFSL
2014-01-01,255.993164,847.197266,93.983009,37.8522,105.447281,824.959412,944.874146,175.685654,29.688541,185.562424
2014-02-01,258.154877,956.279114,82.640236,43.17382,96.871269,793.562927,1019.623108,191.242172,28.728527,188.004654
2014-03-01,260.700867,899.395691,93.803131,50.855846,99.867531,814.823608,1153.537231,226.820953,32.016579,203.244324
2014-04-01,252.294281,953.803711,101.179405,46.006294,95.734917,780.905518,1154.941772,222.993164,32.585739,208.763809
2014-05-01,256.281403,902.094421,114.517311,63.215748,101.251549,746.344727,1115.709717,290.911835,38.657856,257.559998
2014-06-01,281.933563,1010.139465,122.937714,72.399826,121.783516,690.671692,1286.364258,329.287842,40.423595,281.591797
2014-07-01,279.291473,1139.003052,114.551003,64.631996,118.010254,697.247681,1230.64209,334.097107,52.708393,299.811005
2014-08-01,264.803619,1242.32959,114.214172,67.021072,110.725975,699.373718,1289.26355,462.769714,50.938221,317.981384
2014-09-01,303.938812,1348.885132,111.418579,62.306244,134.546936,704.318054,1506.806274,432.638153,60.93531,312.559601
2014-10-01,333.060455,1323.176514,115.123566,70.766495,129.672577,691.452698,1494.166626,483.528076,63.10664,348.545593
2014-11-01,369.535034,1430.84375,94.274689,82.839981,142.498215,776.058777,1604.750244,611.808105,77.342834,358.7565
2014-12-01,368.374084,1380.103027,99.59111,90.551155,145.56543,827.14917,1952.175171,637.57196,80.601547,392.746857
2015-01-01,364.504059,1532.180664,97.187202,106.678513,142.498215,965.419861,1855.001099,661.618408,69.033783,470.651581
2015-02-01,337.607758,1679.28064,98.217445,104.7397,145.707047,998.688049,1829.314575,664.170166,65.288338,436.682922
2015-03-01,330.641724,1941.10376,91.08139,105.048134,143.572723,990.420471,2020.626709,721.832397,63.054863,427.707306
2015-04-01,301.907074,1713.156494,90.727676,100.906151,111.230278,923.191162,1891.786865,687.333313,68.978561,424.781494
2015-05-01,313.226807,1771.822388,91.293625,98.835152,116.368332,943.835144,2008.57666,743.474121,64.660057,465.940582
2015-06-01,355.941742,1822.853271,83.971725,86.629478,110.077629,925.022888,1828.589844,729.97876,61.839745,479.23053
2015-07-01,385.837341,1639.847778,72.086937,74.291611,119.567413,1045.768433,1971.473877,732.383423,65.802681,544.341187
2015-08-01,374.661346,1878.150391,71.450256,68.398689,121.01828,846.407043,2152.001953,669.568359,62.397602,496.735504
2015-09-01,382.109802,1973.680664,65.86158,84.722633,127.581345,872.942383,2211.173096,643.215576,62.581432,507.595551
2015-10-01,397.882935,1871.69751,71.82534,83.913193,136.552399,930.360046,2322.267578,626.48114,62.25885,525.940002
2015-11-01,397.396118,1741.768433,68.099739,77.032852,158.155258,940.272766,2238.297119,677.02771,64.170074,524.399719
2015-12-01,425.72937,1782.765503,64.374123,76.49321,171.310822,939.281372,2150.543457,637.228516,65.543678,506.341064
2016-01-01,408.982605,1660.016846,57.854328,68.938332,152.487839,765.957214,2038.856201,578.732178,61.901585,364.577545
2016-02-01,362.539398,1702.518066,58.320026,55.537395,140.00769,795.943298,1677.902222,586.534729,55.349289,335.367462
2016-03-01,376.75473,1435.38208,78.182549,62.55265,155.806046,820.130371,1635.051025,689.639709,61.079514,342.993988
2016-04-01,403.968262,1559.586182,77.078506,60.888767,167.324036,755.499268,1585.088257,733.168579,66.10376,364.079102
2016-05-01,431.668671,1431.015503,71.488991,63.99168,160.995682,719.26825,1725.722534,744.357483,88.43013,354.957153
2016-06-01,444.472229,1494.039429,76.025406,75.458916,178.916946,744.198853,1728.047241,815.024292,98.173935,531.114807
2016-07-01,484.197235,1688.253784,81.007362,74.244743,180.35495,805.062988,1837.453369,829.844727,111.04245,578.169922
2016-08-01,527.853638,1444.613159,87.487946,71.594444,214.301407,806.153381,1831.15686,901.640381,133.005219,578.020386
2016-09-01,534.947083,1448.560547,85.705788,67.309845,210.23848,897.375366,1762.907349,998.463684,128.358612,553.894653
2016-10-01,509.116913,1450.6073,106.200645,60.260971,196.399872,863.624512,1678.388184,1104.022217,146.176483,562.799988
2016-11-01,445.81366,1466.688843,98.909988,54.916718,177.537994,872.75708,1685.006348,987.372925,120.04361,534.049988
2016-12-01,443.269806,1449.242676,99.963081,56.068497,197.384796,773.837341,1676.503784,872.588379,113.405571,548.75
2017-01-01,478.590485,1433.404907,116.529083,56.206711,235.157822,793.740356,1636.24353,932.753296,143.311676,564.650024
2017-02-01,498.452271,1436.718628,121.713547,60.076672,240.919815,771.901611,1616.986572,1017.553528,158.474335,563.599976
2017-03-01,523.988831,1408.551514,107.820808,57.773125,262.687286,765.151489,1760.471313,1199.078857,169.626205,576.950012
2017-04-01,515.476624,1304.411011,106.424522,61.781311,247.617508,763.364624,1597.177979,1188.282837,186.256241,655.900024
2017-05-01,503.735626,1131.558472,92.359802,58.141693,240.476578,795.179749,1531.594116,1152.998413,177.892334,583.700012
2017-06-01,480.742981,1032.973389,90.356514,59.017052,233.434158,775.921997,1660.877686,1117.272339,168.794724,631.099976
2017-07-01,530.054993,1005.829773,105.798508,65.418922,263.770721,814.586548,1638.541382,1148.974121,174.272858,609.450012
2017-08-01,510.88446,960.918152,105.715042,62.633152,294.579193,782.275085,1671.77002,1160.212036,182.803375,601.549988
2017-09-01,511.474426,994.814453,98.286186,68.483253,292.304871,815.430359,1675.143433,1258.998657,179.022598,590.900024
2017-10-01,532.912964,1008.598694,107.77652,79.301292,292.354279,1021.32489,1599.327515,1355.572876,210.889206,587
2017-11-01,558.7276,802.228577,107.313957,77.769112,338.632599,1077.046265,1774.142212,1532.632568,225.324921,547.950012
2017-12-01,572.151184,868.353271,115.892357,85.801399,333.391693,1072.672119,1901.577637,1567.119629,239.416962,592.5
2018-01-01,583.853882,867.02887,117.994896,81.34417,314.504608,1139.825928,2139.303711,1453.130249,229.351242,534.25
2018-02-01,555.973999,804.436035,108.785751,74.936928,312.526886,1053.187012,2094.459229,1409.492676,237.943893,495.450012
2018-03-01,565.955688,721.927246,99.702744,67.601105,341.203613,942.291199,2014.264771,1485.994019,218.205261,453.450012
2018-04-01,578.297607,796.194946,113.007484,78.697701,347.828949,1193.509277,2100.589111,1554.08252,235.979874,515.700012
2018-05-01,546.828308,755.774414,106.181824,76.376244,325.975281,1163.635376,2296.190186,1516.299316,216.830429,490.100006
2018-06-01,534.928955,886.699463,97.728867,60.915272,298.880707,1144.647461,2377.721191,1507.935791,192.574509,432.549988
2018-07-01,518.407593,808.80188,95.107086,61.193851,344.911804,1084.452515,2463.400146,1710.774902,210.545502,497.200012
2018-08-01,494.290283,919.465515,100.802666,67.693947,367.758057,1395.865479,3338.027344,1745.114258,221.630722,448.049988
2018-09-01,433.634796,889.35791,102.339577,56.875923,331.723816,1349.389526,2767.716553,1327.825562,174.307953,408.299988
2018-10-01,445.993286,874.057373,98.678131,60.311691,320.226715,1214.557861,2704.419922,1380.930542,185.681244,377.200012
2018-11-01,483.068756,875.340637,86.654137,63.468887,333.515564,1234.470337,2533.714111,1383.05603,208.279465,447.299988
2018-12-01,471.056305,833.436829,87.558189,63.747467,360.640747,1370.969849,2645.247803,1374.800659,225.636093,446
