Date,Axis Bank,Bajaj Auto,HDFC,HUL,Infosys,Reliance,SBI,Tata Steel,Sun Pharma,Asian Paints
2014-01-01,248.545654,1615.359619,317.735016,508.794342,361.1185,421.322723,168.042114,345.721558,549.759216,474.796295
2014-01-02,244.889862,1599.186523,313.817383,500.741699,361.988342,414.993591,165.871735,341.207336,551.199768,461.165466
2014-01-03,242.561691,1599.649658,316.922821,503.010651,371.437134,410.086761,163.358658,335.595123,557.010498,464.869965
2014-01-06,241.657364,1591.941895,316.277802,501.63147,366.098145,405.298492,160.650452,332.056976,564.886169,465.819885
2014-01-07,237.491669,1592.110474,317.591705,497.671844,360.180847,399.253845,157.994614,321.117157,570.264648,465.629944
2014-01-08,233.354874,1615.865112,317.543884,497.538361,357.170197,402.145813,157.580521,319.043091,577.996216,465.914825
2014-01-09,227.996246,1608.115479,316.77951,493.623169,359.519409,403.236206,156.0289,317.945068,582.510315,465.534943
2014-01-10,224.071091,1601.418579,316.349518,489.663513,369.713104,406.246674,153.149338,312.576813,585.58374,468.052094
2014-01-13,227.707642,1599.860229,321.413757,486.193176,381.88092,416.723999,156.300201,314.081573,578.620544,469.809357
2014-01-14,226.216461,1578.085205,321.127136,479.475128,384.292633,417.719635,154.867569,304.931183,579.724976,462.780334
2014-01-15,226.687881,1596.617188,325.044769,485.214508,386.553284,419.758209,156.452499,304.931183,579.773071,468.242096
2014-01-16,226.45697,1607.146851,321.987061,491.176117,388.027344,419.639679,155.82901,309.892731,569.784363,471.614166
2014-01-17,221.810257,1629.132324,319.287689,497.404816,388.376343,419.355225,154.405899,307.086609,570.648865,467.102264
2014-01-20,223.493851,1628.205933,320.028259,494.068054,390.652588,412.220184,156.209778,304.809204,566.038635,465.534943
2014-01-21,228.794754,1636.250244,323.324799,498.783966,391.251617,409.636414,157.885147,312.088867,557.922852,454.991302
2014-01-22,228.361816,1643.073608,323.778687,503.58905,392.444489,413.500214,156.661926,319.20578,573.818298,450.004425
2014-01-23,234.028305,1630.901367,324.590881,504.745697,395.121765,410.584534,157.737595,316.521698,584.719299,449.434479
2014-01-24,232.229263,1628.837524,321.987061,503.544617,391.605835,411.034943,154.396362,306.191895,578.860657,454.421387
2014-01-27,223.186005,1611.105835,310.401398,512.131287,388.850372,399.562012,151.788101,287.728516,573.818298,452.094177
2014-01-28,215.87442,1638.39856,308.275299,507.326263,383.058105,400.984283,151.921387,297.77356,559.843811,454.041443
2014-01-29,219.280075,1611.821777,308.442566,507.148315,387.292877,396.693756,149.798599,291.185272,567.335266,458.553284
2014-01-30,213.565506,1617.718384,302.136108,507.593323,385.949005,391.455139,144.458344,281.872223,569.832397,454.611359
2014-01-31,215.412643,1602.85083,300.463959,507.504211,385.396912,393.896637,145.224609,289.680573,564.886169,448.57962
2014-02-03,216.08609,1546.454346,299.245697,507.237213,378.026337,389.36911,141.821533,279.31015,571.753357,447.53476
2014-02-04,216.124542,1576.695313,301.252228,507.860138,371.562195,389.700958,144.310806,279.106812,565.510437,452.236694
2014-02-05,215.730103,1595.10083,304.429382,507.19281,373.114441,386.927582,144.79628,292.201996,561.140503,459.64566
2014-02-06,212.199387,1597.754272,309.278656,521.919067,371.228821,386.785309,143.192291,293.910095,561.764648,459.693146
2014-02-07,216.60556,1630.143311,309.541412,513.999817,371.567413,386.050476,145.334106,312.698822,577.515991,465.914825
2014-02-10,215.518463,1628.247803,307.558716,502.610168,371.754944,389.511322,144.148972,311.112793,587.216553,462.542786
2014-02-11,215.999496,1631.448853,308.203644,500.875214,374.598907,381.87854,144.548798,317.334991,584.527222,459.45575
2014-02-12,215.345291,1622.98291,308.466492,506.614319,374.994843,387.543884,145.900482,304.483826,586.88031,453.471497
2014-02-13,211.881927,1604.703857,302.542236,496.381653,373.624878,382.802979,142.754395,298.790314,590.385986,446.489899
2014-02-14,212.170517,1549.866089,306.603149,498.294617,379.786957,389.463928,140.417435,301.799713,584.863464,448.627106
2014-02-17,214.604507,1555.720459,310.807495,498.51712,381.521484,384.699341,140.255615,303.792511,581.981995,449.244537
2014-02-18,224.080719,1555.130859,315.585114,499.718323,383.370636,385.315674,142.697296,308.266052,584.911377,449.291992
2014-02-19,224.09996,1535.882813,319.789307,496.870941,391.074493,385.220825,143.61113,304.239868,598.645752,445.11261
2014-02-20,222.570297,1550.287109,316.636108,493.712097,386.881348,381.807404,141.026672,298.749664,594.852051,439.033386
2014-02-21,228.919815,1565.112915,317.61557,493.489594,390.840179,384.628235,143.082809,304.117798,590.001831,440.933075
2014-02-24,237.72258,1568.566406,320.195496,493.667664,390.74115,385.14975,143.811035,300.295013,595.812561,446.632355
2014-02-25,237.655243,1600.6604,320.482117,493.133728,394.069611,384.201569,143.430267,293.544037,594.131775,448.437134
2014-02-26,237.857285,1620.119019,323.157654,493.801086,396.27301,384.272644,144.848633,284.068359,602.007324,452.664063
2014-02-28,243.571823,1636.460938,318.905518,488.328766,397.976227,378.915436,145.805298,279.838806,617.278442,449.244537
2014-03-03,241.243668,1615.612549,318.260559,483.167938,395.147919,380.930359,144.548798,280.936829,600.326599,449.339508
2014-03-04,249.180603,1620.119019,320.314941,493.133728,395.861481,386.192688,147.518753,286.101746,595.956543,451.714264
2014-03-05,251.431793,1616.539185,319.669891,490.686798,397.465759,382.542267,149.784332,289.355255,597.637329,450.859344
2014-03-06,255.578247,1648.590942,322.7276,489.263,399.590942,389.700958,150.041336,296.22818,596.436768,450.669342
2014-03-07,270.70166,1647.496094,339.855316,489.574493,389.720215,411.983185,156.947525,301.149048,587.93689,456.511108
2014-03-10,274.530609,1689.150879,350.843842,495.536285,382.615387,419.947876,161.002686,296.268829,572.425659,460.263123
2014-03-11,272.923981,1672.430054,346.543945,499.140015,382.615387,414.803986,160.887405,279.920105,557.394592,456.226105
2014-03-12,268.998779,1654.656128,346.639526,497.760803,382.422607,413.002441,157.967712,276.21936,580.109253,468.954529
2014-03-13,265.679749,1658.109741,354.618195,499.406921,349.773651,416.771393,158.644791,273.941925,550.911499,468.337067
2014-03-14,260.90802,1662.532227,349.577759,493.222778,353.102112,420.090057,158.80809,277.968109,558.73938,470.996735
2014-03-18,259.493774,1677.610596,350.55722,495.046844,348.914185,424.475403,163.120422,277.114075,556.146118,476.411011
2014-03-19,266.709137,1690.625244,352.492188,499.673889,340.819641,427.699188,163.980026,289.802582,561.860718,486.907166
2014-03-20,261.071533,1662.279419,349.147827,509.728577,344.095978,429.382172,161.156342,284.678375,566.95105,488.284454
2014-03-21,268.104095,1666.112305,350.605011,509.773254,344.330383,419.924133,163.523804,294.845459,557.442688,483.06015
2014-03-22,null,null,null,null,null,null,null,null,null,null
2014-03-24,271.471283,1702.839233,358.535797,517.826111,341.080078,428.860718,165.718399,295.211487,557.634705,496.311005
2014-03-25,269.527954,1696.016113,358.12973,526.768677,338.741333,416.558105,167.216675,298.261597,556.386169,498.35318
2014-03-26,275.184845,1717.285767,356.40979,525.389343,338.017181,422.033875,169.82428,304.443207,543.996521,501.487885
2014-03-27,275.184845,1745.04187,356.863617,532.596924,336.334839,427.699188,176.677002,304.890533,538.569885,510.321625
2014-03-28,281.139893,1731.858643,355.908142,531.929565,339.381989,433.388245,182.698944,309.811401,541.211243,510.891602
2014-03-31,281.005219,1750.685791,357.771362,537.13501,341.58017,440.665558,184.240417,320.344513,550.671448,519.107971
2014-04-01,282.611847,1739.061035,352.635437,535.310852,344.887726,446.188629,181.959381,326.404053,550.671448,509.799347
2014-04-02,282.082703,1726.341187,349.028381,530.016418,345.887817,453.67926,185.700287,328.152802,552.640442,497.498383
2014-04-03,276.541321,1729.837158,348.00119,540.026794,347.804688,451.308807,182.036224,324.167328,555.857849,511.699036
2014-04-04,274.982758,1712.610718,346.758972,537.668823,345.398224,447.634613,182.891006,326.89212,549.278931,504.907318
2014-04-07,273.549316,1704.692383,346.543945,537.891296,342.871918,447.563538,184.619812,330.186249,564.021729,511.651398
2014-04-09,285.700012,1712.147583,354.546448,541.227966,338.897583,455.646667,190.574509,340.67865,602.967896,518.205627
2014-04-10,288.990265,1701.828491,352.993744,549.414368,334.053375,459.297211,194.665939,339.011261,591.826721,514.168701
2014-04-11,287.729919,1688.3927,352.515991,541.806641,337.100525,451.735504,191.539719,341.695343,602.919861,514.786072
2014-04-15,278.176819,1689.656372,345.612396,544.831787,339.6633,449.673218,188.581589,332.178955,591.922729,507.994415
2014-04-16,275.463776,1685.06543,346.496246,540.605225,328.823639,446.141235,188.22142,336.530487,590.289917,507.756927
2014-04-17,281.813293,1696.016113,343.295227,542.340271,332.313599,454.532623,193.796768,340.638031,599.606262,516.353271
2014-04-21,289.047974,1695.763428,342.363617,533.175354,331.412445,454.864471,198.877472,344.257507,596.965027,512.601318
2014-04-22,288.624664,1689.361328,347.02179,530.594971,328.146545,459.083832,196.826935,342.468048,594.852051,509.466705
2014-04-23,292.02066,1688.771973,350.796082,530.416809,330.527008,458.372742,198.286804,346.982239,601.335022,503.055023
2014-04-24,292.02066,1688.771973,350.796082,530.416809,330.527008,458.372742,198.286804,346.982239,601.335022,503.055023
2014-04-25,295.243591,1681.822388,346.973969,516.713806,330.683228,449.151703,200.073212,346.69754,598.165527,489.18692
2014-04-28,294.387299,1672.430054,346.520081,516.624939,331.089478,448.179779,202.200562,346.412903,610.075134,475.888641
2014-04-29,294.021759,1635.660767,342.029175,501.097504,331.136414,445.785706,198.358841,329.82019,614.060974,473.323944
2014-04-30,292.309265,1611.821777,343.151917,504.434418,330.990509,443.415222,199.66983,325.834717,606.569458,479.830566
2014-05-02,294.473938,1604.409058,342.483032,500.385712,335.428497,440.096619,196.485962,317.823029,605.080811,484.057556
2014-05-05,298.793488,1616.118042,342.506897,495.625183,330.881165,448.108734,196.39473,323.150635,601.5271,492.511566
2014-05-06,295.917023,1602.429565,343.844666,492.599976,329.631042,456.666046,197.057434,326.038025,600.518738,488.949432
2014-05-07,296.484589,1576.695313,342.10083,493.311676,319.244629,455.480774,199.13678,325.306061,606.473389,480.97049
2014-05-08,299.341888,1582.634155,343.534119,492.065979,319.088348,454.95932,200.875137,327.176758,599.990417,478.738251
2014-05-09,313.916962,1617.929077,361.760742,495.758698,323.51062,472.832428,208.673904,339.092621,599.222046,494.648712
2014-05-12,316.764648,1640.841309,378.362885,507.237213,331.063477,487.813629,215.497803,341.817352,588.849243,509.419281
2014-05-13,317.428406,1667.207153,376.093536,514.088806,340.189362,503.174103,218.619217,347.226257,586.064026,512.17395
2014-05-14,315.273407,1718.88623,370.384277,512.84314,338.251648,495.683533,219.243484,367.763733,587.120483,529.034241
2014-05-15,320.102936,1645.305786,376.523468,523.520874,340.699829,499.310333,218.892944,374.718048,597.205078,503.150085
2014-05-16,338.035553,1629.34314,384.454346,516.713806,331.058319,516.871216,231.878036,358.247375,588.945313,509.514221
2014-05-19,356.891724,1587.351196,387.846466,495.669678,314.90036,535.886047,246.832016,367.031769,560.516052,501.82019
2014-05-20,357.064911,1576.400513,389.685852,501.097504,324.932678,515.91449,242.610916,379.842255,564.069763,502.532623
2014-05-21,349.272247,1650.359985,386.914856,500.296783,328.22464,515.723145,236.27684,376.100769,554.32135,517.825745
2014-05-22,354.255707,1672.598389,383.45105,500.519165,323.698151,526.821167,241.242294,383.136414,557.154602,510.701721
2014-05-23,358.835022,1670.997681,377.192383,499.406921,319.458191,539.521729,264.624084,388.423218,561.572693,511.841431
2014-05-26,360.537903,1651.07605,381.396637,498.917572,322.307465,526.677673,259.298492,380.980988,568.487793,498.210785
2014-05-27,355.679535,1661.858276,384.52597,498.69516,326.479706,520.339355,252.805923,387.772614,568.824036,496.02597
2014-05-28,358.113495,1642.399536,393.388458,499.807373,330.469666,520.722046,250.68338,381.224976,560.80426,486.432251
2014-05-29,358.9505,1636.376831,387.249237,495.714081,308.830505,513.307434,251.16153,378.744202,564.357849,481.350403
2014-05-30,353.293671,1645.263672,379.390045,534.732422,310.646973,509.52829,245.544312,386.349213,583.374817,483.9151
2014-06-02,366.031219,1664.42749,391.740234,534.821411,316.138611,517.756165,255.426361,400.827148,575.547119,484.342499
2014-06-03,365.482819,1658.57312,393.937866,526.768677,318.451416,523.687805,255.339417,427.627563,577.371948,483.772583
2014-06-04,370.32193,1684.517822,390.115814,538.647583,316.15979,515.627502,259.106781,436.452576,574.106384,483.582581
2014-06-05,374.603058,1684.475708,387.803131,561.649231,320.832947,520.267578,260.502655,451.499908,574.202454,485.149933
2014-06-06,379.817352,1723.393066,392.645264,568.055969,316.803986,535.694824,263.922241,455.68869,575.643066,480.97049
2014-06-09,378.316559,1816.558472,395.102478,562.405579,315.31485,537.010254,261.140198,466.62854,577.467957,501.915222
2014-06-10,372.409607,1811.756958,393.849762,568.367249,323.921875,534.738098,257.411499,454.509308,584.671326,508.80191
2014-06-11,373.525574,1832.352783,395.295197,563.100281,335.702576,526.940796,259.913391,446.700958,589.233459,514.691101
2014-06-12,370.25943,1838.586182,404.66626,566.836609,334.419495,523.61615,260.217682,447.311066,605.753113,520.437683
2014-06-13,353.656555,1825.698364,402.570404,570.88855,336.00882,517.564819,251.770096,427.627563,603.063965,513.361267
