Date,Axis Bank,Bajaj Auto,HDFC,HUL,Infosys,Reliance,SBI,Tata Steel,Sun Pharma,Asian Paints
2014-01-01,237.491669,1592.110474,317.591705,497.671844,360.180847,399.253845,157.994614,321.117157,570.264648,465.629944
2014-01-08,226.216461,1578.085205,321.127136,479.475128,384.292633,417.719635,154.867569,304.931183,579.724976,462.780334
2014-01-15,228.794754,1636.250244,323.324799,498.783966,391.251617,409.636414,157.885147,312.088867,557.922852,454.991302
2014-01-22,215.87442,1638.39856,308.275299,507.326263,383.058105,400.984283,151.921387,297.77356,559.843811,454.041443
2014-01-29,216.124542,1576.695313,301.252228,507.860138,371.562195,389.700958,144.310806,279.106812,565.510437,452.236694
2014-02-05,215.999496,1631.448853,308.203644,500.875214,374.598907,381.87854,144.548798,317.334991,584.527222,459.45575
2014-02-12,224.080719,1555.130859,315.585114,499.718323,383.370636,385.315674,142.697296,308.266052,584.911377,449.291992
2014-02-19,237.655243,1600.6604,320.482117,493.133728,394.069611,384.201569,143.430267,293.544037,594.131775,448.437134
2014-02-26,249.180603,1620.119019,320.314941,493.133728,395.861481,386.192688,147.518753,286.101746,595.956543,451.714264
2014-03-05,272.923981,1672.430054,346.543945,499.140015,382.615387,414.803986,159.460571,279.920105,557.394592,456.226105
2014-03-12,259.493774,1677.610596,350.55722,495.046844,348.914185,424.475403,163.120422,277.114075,556.146118,476.411011
2014-03-19,269.527954,1696.016113,358.12973,526.768677,338.741333,416.558105,167.216675,298.261597,556.386169,498.35318
2014-03-26,282.611847,1739.061035,352.635437,535.310852,344.887726,446.188629,181.959381,326.404053,550.671448,509.799347
2014-04-02,273.549316,1704.692383,346.543945,537.891296,342.871918,447.563538,184.619812,330.186249,564.021729,511.651398
2014-04-09,278.176819,1689.656372,345.612396,544.831787,339.6633,449.673218,188.581589,332.178955,591.922729,507.994415
2014-04-16,288.624664,1689.361328,347.02179,530.594971,328.146545,459.083832,196.826935,342.468048,594.852051,509.466705
2014-04-23,294.021759,1635.660767,342.029175,501.097504,331.136414,445.785706,198.358841,329.82019,614.060974,473.323944
2014-04-30,295.917023,1602.429565,343.844666,492.599976,329.631042,456.666046,197.057434,326.038025,600.518738,488.949432
2014-05-07,317.428406,1667.207153,376.093536,514.088806,340.189362,503.174103,218.619217,347.226257,586.064026,512.17395
2014-05-14,357.064911,1576.400513,389.685852,501.097504,324.932678,511.304749,242.610916,379.842255,564.069763,502.532623
2014-05-21,355.679535,1661.858276,384.52597,498.69516,326.479706,520.339355,252.805923,387.772614,568.824036,496.02597
2014-05-28,365.482819,1658.57312,393.937866,526.768677,314.134674,523.687805,253.872025,427.627563,577.371948,483.772583
2014-06-04,372.409607,1811.756958,390.545776,568.367249,323.921875,534.738098,257.411499,454.509308,584.671326,508.80191
2014-06-11,353.928619,1821.528198,407.822083,560.536987,342.936737,521.367859,256.411682,432.792419,622.272888,531.646484
2014-06-18,374.176849,1870.596191,399.318207,555.71698,339.034485,506.8974,256.904358,433.036469,602.775696,553.807983
2014-06-25,373.331146,1962.498413,396.57193,565.666138,340.243744,482.18988,258.961853,440.316101,652.526794,558.690247
2014-07-02,367.109955,1885.800659,399.96875,563.730408,352.077118,476.042969,248.910782,417.50116,696.130981,565.295593
2014-07-09,368.898529,1857.87439,398.330566,557.202576,340.634521,465.064484,243.061737,428.034271,709.481262,558.068054
2014-07-16,392.247528,1784.502686,404.66626,569.537964,341.653625,493.096588,243.815186,466.50589,719.9021,577.022949
2014-07-23,384.645996,1793.109253,399.77597,618.068481,355.519958,480.898315,240.554977,454.430298,758.463989,607.417603
2014-07-30,381.729797,1854.819214,395.054291,633.960388,370.078125,470.517792,238.574722,466.17392,742.136353,605.981628
2014-08-06,370.93988,1841.263672,388.887207,631.124146,377.697723,470.948364,234.672134,449.741241,752.893494,588.079895
2014-08-13,386.541504,1889.418091,397.053741,647.466125,375.025879,482.52478,235.681595,451.567047,777.480774,589.0849
2014-08-20,386.638702,1942.864868,405.918976,654.714233,382.365631,475.516724,240.835144,435.715302,830.641479,582.048767
2014-08-27,397.380005,1943.51062,413.627808,660.791809,381.409882,489.795868,243.626831,430.901733,829.00885,597.605286
2014-09-03,407.635345,2001.218384,416.952209,674.747742,394.637329,494.29248,248.007568,430.32077,826.127441,636.663757
2014-09-10,387.708008,1980.175049,409.604767,682.445984,386.162201,469.010986,247.650177,406.709137,766.3396,620.67627
2014-09-17,388.194031,2059.872314,408.88208,668.850281,381.54184,462.146484,246.901535,403.430847,750.697571,608.183533
2014-09-24,367.246033,2021.658691,419.891205,671.55127,395.783173,452.220428,235.927917,381.18866,824.829346,604.162537
2014-10-01,363.892426,2005.650513,415.482697,661.151978,404.511688,443.275055,228.919662,365.959351,805.153809,604.066589
2014-10-08,386.006897,2074.245361,418.566254,658.090576,413.842194,459.754639,243.588181,378.574371,773.836731,620.528992
2014-10-15,411.18335,2076.999756,431.647247,674.252502,398.587006,444.470947,249.664246,378.283875,766.765137,618.945007
2014-10-22,412.009613,2153.986084,431.309937,644.5849,403.774536,446.814941,256.604919,374.300201,807.463013,620.336853
2014-10-29,432.228546,2215.394531,438.65744,664.663269,434.685181,478.937073,262.869293,405.962189,819.489502,627.440186
2014-11-05,453.759796,2190.822998,437.212067,699.528687,438.947357,467.719421,264.443878,398.119324,880.969299,623.456604
2014-11-12,460.710083,2274.99585,449.233032,682.189087,444.518616,472.503052,283.956818,403.721344,832.574402,672.651672
2014-11-19,456.96759,2272.887207,459.085907,694.263184,457.954529,474.703491,294.57785,385.421356,808.42511,664.108398
2014-11-26,478.49884,2240.182129,454.219727,730.621704,452.926117,460.424408,307.908447,385.753265,809.050415,739.076843
2014-12-03,474.99939,2240.267822,446.703583,738.519897,418.200226,449.326355,296.268311,361.934174,809.050415,750.691711
2014-12-10,458.620087,2145.938965,445.956726,697.213623,412.421478,413.353424,285.835632,323.17627,798.467163,728.805969
2014-12-17,480.151337,2170.898193,462.289886,695.352539,419.541138,427.608704,296.606384,327.948395,782.25531,708.888
2014-12-24,484.963043,2112.674316,460.772217,689.587769,418.540771,421.246429,299.262878,329.027283,789.471191,719.974854
2014-12-31,485.351868,2100.32373,454.171509,703.704712,416.508057,399.95929,289.747925,328.902802,777.204102,726.88623
2015-01-07,488.754059,2002.121582,464.24115,803.15741,444.263245,403.283905,294.674438,325.002136,801.401611,799.694702
2015-01-14,536.142273,2075.106201,492.498901,813.143555,451.734192,431.076813,307.232239,333.716431,837.04834,804.35022
2015-01-21,575.753906,2080.700684,517.45636,854.812805,454.639496,425.145142,318.582611,330.355194,879.237549,854.457153
2015-01-28,570.115906,1945.188965,512.276978,826.988037,451.308441,448.441406,289.941132,316.1633,905.070496,782.176514
2015-02-04,538.232178,1950.697021,508.591156,807.469666,485.35318,422.251007,277.38327,296.825867,884.577271,788.751831
2015-02-11,555.04895,1946.565918,514.131897,823.583557,484.970062,431.794373,296.364899,307.034088,879.862793,799.838684
2015-02-18,536.142273,1886.534424,514.083679,829.711426,484.895569,402.662079,286.077179,298.278229,875.100342,767.682007
2015-02-25,615.171082,1821.296143,521.455322,844.236694,488.982239,431.31604,292.452667,293.381683,906.706177,804.638123
2015-03-04,569.386902,1832.312744,507.218018,868.47583,468.282898,410.961609,277.817963,275.621063,986.369934,776.656982
2015-03-11,563.651672,1760.619385,509.627045,846.007141,477.190552,409.885284,273.181213,275.870056,1000.32074,796.575073
2015-03-18,542.266235,1745.342651,500.015076,805.835632,470.837189,406.034515,261.203003,271.554382,1000.465271,779.968811
2015-03-25,544.745056,1736.262451,492.812103,792.444946,471.794952,394.505981,257.91861,262.964569,983.531677,776.321228
2015-04-01,543.286987,1801.371704,498.063782,827.033325,460.013824,398.380676,262.651947,276.865967,1108.319214,801.80658
2015-04-08,550.723206,1807.783691,500.183716,859.987549,476.562714,441.242004,275.741089,285.995239,1105.048096,825.13208
2015-04-15,509.021637,1715.262329,483.200134,793.171326,456.427429,418.998169,279.218658,288.817017,915.557678,763.266541
2015-04-22,520.297607,1713.196533,483.754211,780.46167,417.465881,413.783936,263.134949,308.195953,889.339722,734.853333
2015-04-29,549.799805,1775.853149,475.732208,797.937439,418.615265,426.173615,262.893433,314.710938,922.003845,749.635925
2015-05-06,517.867493,1832.312744,468.240112,766.844238,414.964935,415.386475,258.305023,293.091125,913.633362,727.750122
2015-05-13,547.320984,1892.817261,485.006866,766.66272,429.555573,433.311096,278.49411,305.540222,920.079651,743.924377
2015-05-20,549.313782,1992.869751,494.474335,776.785034,427.671814,428.061096,267.820007,276.24353,956.592224,733.125488
2015-05-27,538.669617,1952.935059,485.994598,774.152222,427.56546,434.859497,257.194153,266.948273,827.715698,728.853882
2015-06-03,542.752258,1881.284668,481.92334,744.284668,424.106689,427.698181,251.785156,252.880905,781.966675,706.680176
2015-06-10,535.99646,2058.151367,485.729614,757.629761,425.458282,437.399872,249.046265,244.374054,807.751648,676.779236
2015-06-17,555.680786,2076.311035,506.230255,793.715881,432.638794,481.335815,261.811554,260.142792,825.117981,725.734314
2015-06-24,543.043945,2182.345215,514.300415,840.760864,425.810883,484.093903,257.067352,252.880905,841.089294,724.198364
2015-07-01,569.435425,2243.10791,523.358337,847.320374,424.384857,485.521393,266.751434,246.863876,850.950989,796.208008
2015-07-08,567.296875,2150.844971,530.061523,850.852356,419.220764,482.714844,262.740845,233.792374,883.999939,793.98761
2015-07-15,573.227295,2233.434082,533.289551,817.825439,480.82251,487.505219,258.485748,227.94136,774.798767,788.388367
2015-07-22,549.710327,2173.26709,537.56134,830.118835,459.582855,488.690765,253.692642,206.944046,790.240845,806.151489
2015-07-29,568.425903,2203.54834,528.313843,833.650879,457.983856,478.118042,281.91333,219.045715,798.61145,873.439453
2015-08-05,559.460083,2230.932861,531.275024,815.531982,477.235748,467.59375,263.425598,210.929733,809.916321,854.662476
2015-08-12,549.661377,2213.5979,527.415894,799.339783,502.926666,456.948456,277.756042,214.987717,855.184265,870.060669
2015-08-19,492.289612,1935.05481,496.154419,795.394775,469.522064,412.697968,247.872421,182.950989,858.214966,822.370117
2015-08-26,470.487366,1976.39563,485.717743,783.835449,470.883362,406.528564,233.884369,184.702347,866.633606,787.760864
2015-09-02,464.118195,1939.575317,487.174011,736.176025,457.767792,410.786682,223.319946,195.466675,813.331848,765.267151
2015-09-09,473.035065,2014.531982,491.033173,738.286072,474.664581,419.786774,228.699982,195.680252,833.873169,800.745361
2015-09-16,498.805786,1982.012451,498.824249,721.176331,477.732758,410.060852,232.710541,187.948715,866.826172,776.176086
2015-09-23,493.857391,1976.39563,516.687927,720.809448,484.474182,406.044678,236.7211,172.015808,818.190674,777.382813
2015-09-30,496.454071,2086.855713,526.857605,759.661743,499.058899,433.5047,235.009277,194.057068,875.24469,823.528625
2015-10-07,480.972076,2159.837891,522.731567,745.304199,474.772491,431.883667,238.090546,209.477417,849.026733,835.692627
2015-10-14,498.46283,2140.133301,531.614807,722.323181,486.310699,462.319489,248.899521,205.71843,867.547546,844.381104
2015-10-21,510.809265,2266.480225,539.139038,750.604858,500.858978,454.456512,243.226044,210.118149,871.15564,799.200684
2015-10-28,465.783966,2125.256104,526.299377,743.620483,498.482147,467.617981,231.047623,201.660446,838.201416,787.278198
2015-11-04,459.071838,2153.210938,511.809448,743.250549,482.520233,446.109619,236.036377,186.197372,707.012268,772.678406
2015-11-11,465.686005,2074.787598,514.940491,737.376282,462.764099,448.795135,242.59021,200.336273,727.236084,781.148071
2015-11-18,454.515411,2175.724365,516.445251,750.604858,453.998169,468.39212,236.23201,191.664993,683.36145,829.0625
2015-11-25,452.35968,2160.232422,524.940308,770.81781,469.545685,467.206604,243.861877,203.027359,705.081665,816.817627
2015-12-02,449.322052,2161.32959,509.382263,763.740906,455.720795,456.029114,230.754166,200.54985,744.274231,832.885864
2015-12-09,426.588928,2137.631348,513.168579,792.140686,469.654846,472.214752,221.167938,208.623093,746.880615,848.228149
2015-12-16,437.661499,2173.311035,516.954895,787.700317,472.576721,477.827698,223.319946,219.729156,737.661743,851.519165
2015-12-23,448.489166,2221.628662,523.338257,793.944641,481.364502,491.206909,223.515579,217.977829,782.742859,851.664429
2015-12-30,427.568848,2191.698975,515.401611,784.277588,468.738983,486.343933,213.489166,234.167038,773.475586,871.991638
2016-01-06,397.927582,2056.00415,509.455109,758.0979,457.945038,505.698944,195.490555,210.459854,760.926331,845.179138
2016-01-13,385.189178,1989.429565,502.683411,750.558533,496.78125,504.973206,179.105927,203.283646,766.621765,818.124512
2016-01-20,411.547852,2039.064087,504.819244,723.083984,496.148865,486.198792,178.910278,216.867203,779.798523,849.292908
2016-01-27,383.425385,2073.64624,512.367737,740.244141,512.350708,484.843903,165.753677,197.773315,805.428284,852.487122
2016-02-03,392.342255,2086.899658,498.047607,764.665894,483.785004,462.875946,163.357117,201.233292,824.63855,855.875183
2016-02-10,397.388641,2049.245605,472.538422,744.036865,471.442841,449.83551,152.988342,209.178406,798.670898,814.058899
2016-02-17,377.350189,2103.225342,470.815155,773.824158,490.174011,460.021088,154.993637,216.525482,840.904419,846.485779
2016-02-24,384.013306,1983.636475,478.145081,763.185791,490.414001,475.287354,158.661819,219.47287,837.429138,844.307922
2016-03-02,403.414886,2033.534668,493.120514,765.5448,507.444336,497.013428,179.643921,249.331085,828.35498,844.937134
2016-03-09,410.714935,1999.830322,498.702881,778.912109,494.709656,493.747253,181.20903,256.122864,814.647278,857.714111
2016-03-16,431.782257,2027.214722,511.493927,806.063049,518.935974,507.344208,193.093979,264.366974,814.840271,826.642395
2016-03-23,420.709686,2106.487549,511.275482,796.951111,522.882813,506.157867,185.366318,259.62558,766.525208,826.690857
2016-03-30,423.551331,2150.594971,513.726807,803.195374,531.452576,502.589233,180.475388,266.63092,772.799866,841.403931
2016-04-06,424.727173,2206.817871,516.493774,805.46167,515.621582,511.901947,183.605591,276.925354,795.050903,837.677368
2016-04-13,435.211823,2279.687256,528.289734,829.513672,540.262146,519.039185,182.774124,286.194672,807.745117,855.729858
2016-04-20,470.781342,2288.077637,540.473938,819.476563,537.710815,497.065247,196.468735,306.185577,785.880188,848.809021
2016-04-27,460.296661,2210.49707,542.43988,786.775208,514.945496,477.144501,180.181931,297.68515,770.676147,843.63031
2016-05-04,478.03241,2272.956787,555.667664,797.829956,528.814087,479.735382,185.17067,280.171753,774.585815,869.862183
2016-05-11,492.877533,2255.187988,559.987976,770.81781,529.468201,474.28476,173.187897,279.317474,772.268982,938.829773
2016-05-18,479.453217,2139.871094,553.726013,761.382019,518.194519,459.545807,165.851501,271.32962,746.011841,925.616882
2016-05-25,505.223969,2350.223389,573.458496,786.220093,545.081238,468.785126,200.381485,285.724823,736.261963,952.574768
