Date,COAL INDIA,GAIL,IOC,ICICI,ITC,NTPC,WIPRO,ADANIPORTS,CIPLA,JSWSTEEL
2014-01-01,166.24025,79.396332,36.068687,181.064041,181.363602,86.095573,194.602112,151.480682,390.823364,90.897705
2014-01-02,161.0914,78.309814,35.593079,177.418671,177.172668,84.039749,194.690125,147.943207,381.630402,90.33374
2014-01-03,157.933914,77.997742,35.186634,175.967133,177.060165,82.077362,195.975281,145.278015,381.095367,88.986473
2014-01-06,157.19429,77.720337,35.376884,171.678452,177.566452,82.326553,196.46817,146.19873,380.949463,92.589607
2014-01-07,156.653809,78.136436,34.54673,173.195953,178.157104,80.893715,193.721878,141.449799,380.21991,91.985374
2014-01-08,164.305862,79.974258,33.811695,173.905243,178.24147,80.70681,192.64798,146.101791,393.206757,91.873466
2014-01-09,168.203003,80.332581,34.391071,173.336197,177.538315,83.261032,190.447388,144.938812,392.136719,91.810776
2014-01-10,164.39122,79.824005,34.711037,168.989792,181.476105,81.859344,194.830933,143.727325,388.245483,91.604912
2014-01-13,165.130798,79.696846,35.861149,174.004242,183.079346,82.700333,197.682938,139.317627,391.309814,91.246819
2014-01-14,164.362762,79.777763,35.644958,170.960922,182.516815,81.765869,194.918961,142.5159,399.967743,90.400879
2014-01-15,167.946991,80.656219,36.241642,174.573288,184.991989,82.388855,197.418854,145.471832,406.680054,88.655243
2014-01-16,172.185486,81.187927,36.708599,174.664032,183.107483,82.949547,201.239044,146.150253,401.42691,91.618332
2014-01-17,171.147293,81.280396,38.931011,170.647522,182.741821,81.983917,194.602112,144.066544,406.24231,89.53701
2014-01-20,169.542786,80.783379,38.870472,172.206284,185.751404,82.139671,201.767197,146.295624,408.431122,88.355354
2014-01-21,165.484344,79.523476,38.931011,177.8228,185.104492,81.454391,201.239044,143.097366,406.04776,88.691048
2014-01-22,164.729248,79.338547,39.562275,179.45578,184.148193,82.638054,204.566208,143.339691,411.203613,89.031235
