Date,COAL INDIA,GAIL,IOC,ICICI,ITC,NTPC,WIPRO,ADANIPORTS,CIPLA,JSWSTEEL
2014-01-01,156.653809,78.136436,34.54673,173.195953,178.157104,80.893715,193.721878,141.449799,380.21991,91.985374
2014-01-08,164.362762,79.777763,35.644958,170.960922,182.516815,81.765869,194.918961,142.5159,399.967743,90.400879
2014-01-15,149.627579,79.523476,38.931011,177.8228,185.104492,81.454391,201.239044,143.097366,406.04776,88.691048
2014-01-22,156.769653,79.777763,38.688881,168.024841,183.75441,80.052689,199.848267,137.621567,398.119415,83.30648
2014-01-29,156.864044,81.985466,41.992222,159.77742,182.769974,81.111755,196.673111,142.370499,403.858978,75.49147
2014-02-05,169.888855,80.448181,44.690228,159.810394,182.882462,84.977966,199.327713,143.678879,401.281036,76.950623
2014-02-12,160.513489,83.771988,41.21394,171.183609,178.269608,86.071136,197.168625,154.727371,361.785248,77.980095
2014-02-19,154.881989,83.514435,42.796436,170.078461,181.110458,74.496399,211.043503,154.097412,364.557739,76.771591
2014-02-26,155.51123,89.09845,43.76495,176.346481,186.567123,73.210312,208.194199,170.040176,368.351654,79.743629
2014-03-05,160.922485,86.745445,46.679157,197.633118,187.889099,75.493111,198.159668,178.908066,366.697937,83.852547
2014-03-12,170.3293,86.523026,46.402435,198.680542,200.208771,75.814636,191.293015,182.930084,375.355804,84.877548
2014-03-19,172.720322,86.054764,45.269619,206.606339,204.090317,74.014122,194.142349,174.352966,380.608978,87.769012
2014-03-26,182.787827,87.787331,47.379601,201.888779,197.98671,78.418953,198.584412,180.555664,371.124146,91.569099
2014-04-02,178.697891,85.387482,47.43148,199.447556,194.330185,76.77919,197.115524,171.542419,385.813507,94.755981
2014-04-09,184.235031,86.171822,46.065189,201.146515,191.798767,80.637451,208.318085,181.23407,389.753326,90.633629
2014-04-16,188.136154,88.723839,47.68227,212.767151,197.311661,79.608574,187.78891,198.485245,385.716187,99.272217
2014-04-23,186.688965,86.20694,46.047894,208.297012,191.433121,75.65387,185.753708,185.643799,390.288391,95.064819
2014-04-30,186.531662,86.581558,46.869411,210.408386,195.736526,73.499702,182.231873,186.564468,380.268494,99.545242
2014-05-07,208.931839,92.118744,54.01223,231.059937,202.993332,78.96553,187.311066,217.577805,379.976685,103.242393
2014-05-14,230.608353,98.791481,60.273022,239.158951,191.742508,91.47271,175.082031,228.529388,378.76062,109.929466
2014-05-21,247.314117,88.79409,62.495419,238.697083,193.402008,99.124878,179.878098,207.837662,367.71933,110.148773
2014-05-28,247.534363,89.344284,62.132233,240.552719,187.551559,105.587471,174.92276,232.89064,378.420197,114.163712
2014-06-04,264.523224,100.348442,62.063042,244.330078,193.217224,105.169502,185.824478,238.463333,396.514313,117.350616
2014-06-11,251.970383,104.176476,60.601612,246.786987,192.472672,99.607185,189.753311,228.820145,401.718781,113.456505
2014-06-18,246.338837,107.583076,59.148827,245.050415,183.566437,99.575027,188.054367,230.66156,415.775787,111.974976
2014-06-25,241.902832,107.887444,59.269917,244.837616,186.258362,99.414253,190.496643,236.670364,425.35791,113.644501
2014-07-02,237.466827,106.646545,57.462574,240.266205,192.329498,98.385414,194.584763,250.481018,429.978699,106.142815
2014-07-09,229.318512,107.746986,57.38475,237.439941,196.081009,93.6269,189.664841,254.842209,420.104736,106.545883
2014-07-16,243.853409,103.181427,57.306915,252.533188,202.12352,96.359833,197.770325,276.018524,429.249054,109.634186
2014-07-23,229.255585,99.353386,55.707142,247.042404,204.586349,95.845398,198.987366,257.798187,428.957245,107.751396
2014-07-30,227.210632,99.259735,58.154381,253.095047,203.899033,90.475975,196.308212,257.60434,428.519501,107.724312
2014-08-06,229.412888,96.801353,58.984547,249.136566,198.772934,89.704338,194.236374,263.984497,432.75116,105.73317
2014-08-13,232.338699,101.179611,61.967922,262.689026,199.66069,92.533722,195.540222,279.355621,463.748993,116.131325
2014-08-20,224.37915,101.694702,62.535664,256.755554,201.865799,91.820763,196.790466,289.911102,500.737549,112.866943
2014-08-27,228.657776,108.859108,68.25782,270.895355,203.154449,91.299805,200.398361,281.009491,544.371155,119.183472
2014-09-03,239.511826,108.874687,70.555557,263.174194,205.159103,91.56028,210.043213,287.187103,561.814941,120.700531
2014-09-10,216.734116,106.465523,66.554489,259.769104,202.266708,86.057541,199.844696,272.10788,605.595276,115.183167
2014-09-17,210.882416,105.231277,63.422832,261.93988,212.375763,89.150803,208.149963,265.687012,571.000977,108.889206
2014-09-24,214.783524,106.679161,64.301117,244.071442,212.032089,90.583481,213.186707,270.016205,612.533752,104.39222
2014-10-01,214.909409,105.255013,63.431705,243.407425,207.765106,91.59285,220.938293,252.845261,588.493652,103.976837
2014-10-08,216.576828,106.204437,65.17939,251.647842,198.744293,91.625397,207.203323,253.08847,565.333069,103.227348
2014-10-15,223.403854,114.191429,65.596375,269.363098,201.235764,96.086212,204.792099,254.791016,594.454773,106.193726
2014-10-22,224.410583,117.811089,63.325222,272.623413,200.548447,96.216461,197.790695,254.304596,631.443237,109.268463
