Date,COAL INDIA,GAIL,IOC,ICICI,ITC,NTPC,WIPRO,ADANIPORTS,CIPLA,JSWSTEEL
2014-01-01,140.780762,82.829254,42.433243,162.919678,187.217194,78.775581,202.47139,142.418961,399.432678,82.120354
2014-02-01,153.52919,85.707352,42.952091,172.181564,188.685684,72.277916,211.397446,162.093018,373.847992,78.414268
2014-03-01,181.686707,88.044876,48.711323,205.369202,203.197754,77.1007,192.266418,181.670181,372.388733,92.746269
2014-04-01,183.637238,86.651779,45.563629,205.097015,196.22966,74.817917,184.88652,182.397079,386.640381,96.953674
2014-05-01,233.376907,88.454613,62.279232,233.905304,196.805527,103.208214,179.170197,220.485306,374.091187,108.443459
2014-06-01,242.217453,108.414246,59.598515,233.921814,187.1884,100.443146,193.399048,236.185776,426.087524,110.717232
2014-07-01,231.36348,102.069305,57.289627,250.490097,208.76123,93.273239,192.691162,252.51622,444.08432,105.663895
2014-08-01,224.064499,103.813583,62.158157,265.055511,208.321503,88.353958,201.916519,275.172333,500.215057,112.29805
2014-09-01,214.783524,106.679161,64.301117,244.071442,217.057739,90.583481,213.186707,270.016205,612.533752,104.39222
2014-10-01,233.156708,125.51326,64.611618,276.947998,208.262848,97.746788,201.362823,277.896362,651.379028,114.027306
2014-11-01,223.372375,115.876656,64.753563,298.698273,212.924149,92.927826,209.257324,282.37149,620.693665,108.442207
2014-12-01,241.52533,105.575455,58.95155,300.588135,216.178238,93.774406,198.326538,310.389679,612.142761,94.61264
2015-01-01,227.053314,100.401123,61.621887,307.057861,216.090302,93.546471,216.669556,331.792542,679.914307,88.264503
2015-02-01,248.698364,96.532227,59.199959,285.392731,230.836395,103.184418,235.728745,336.85144,654.603882,91.17218
2015-03-01,228.343185,92.046227,65.410057,268.579865,191.054199,96.131035,226.559723,299.834229,696.234314,81.862175
2015-04-01,240.880173,85.518959,64.088196,281.902466,189.002045,98.389488,194.0448,308.93042,621.524231,84.178398
2015-05-01,259.672424,92.295456,63.201035,270.069611,191.787125,89.388443,202.367188,315.059418,635.645386,82.742607
2015-06-01,279.72644,93.090576,68.382042,262.195221,184.780518,90.108521,196.963043,300.491119,601.393188,78.764854
2015-07-01,291.546326,84.249107,76.535004,261.855011,194.966202,88.406517,205.303452,317.179657,692.911743,75.080589
2015-08-01,243.270676,70.280792,73.536415,240.639938,194.45787,79.50367,208.574829,346.897003,666.623962,84.146439
2015-09-01,217.5392,72.52198,71.362885,234.102203,196.640762,81.0093,218.077087,291.805298,623.31604,81.329521
2015-10-01,212.426041,73.997368,72.118881,239.86058,200.139389,88.259407,208.95787,289.12146,676.627014,83.2593
2015-11-01,219.498093,87.011971,75.862389,236.873169,207.017029,86.996666,207.900024,261.551239,630.763977,82.815712
2015-12-01,219.000061,89.986748,77.31469,226.308914,196.042709,97.198318,204.2341,254.62204,636.741821,94.403526
2016-01-01,212.459305,88.427391,72.578918,199.292114,191.497482,94.672836,205.291916,207.142715,573.386108,96.67627
2016-02-01,206.516144,73.205696,66.327728,164.568588,176.815231,79.420174,191.511703,191.966888,503.856567,103.023483
2016-03-01,193.866196,86.145111,72.056686,204.920624,196.311829,86.736504,207.708755,241.739685,501.700623,117.364182
2016-04-01,209.255737,87.099869,79.315445,205.180389,194.338242,93.771027,204.064423,233.521713,526.249084,125.590881
2016-05-01,211.689362,89.541138,76.175781,211.847992,209.94751,96.362686,200.788208,188.376144,463.187408,127.049644
2016-06-01,227.380875,93.094261,80.734245,208.297699,221.557068,105.214722,205.389648,202.787445,490.969818,133.927322
2016-07-01,238.277679,92.272438,99.663788,232.336227,227.736465,106.594688,200.640945,227.835602,516.841309,153.21138
2016-08-01,242.273209,92.792122,105.338989,228.00589,234.592453,107.200523,181.306412,257.785614,561.479309,161.162003
2016-09-01,234.136887,90.556305,106.638786,222.835968,217.723114,99.62751,176.623032,251.707382,568.437195,158.978683
2016-10-01,235.953049,105.55648,120.222031,244.664474,219.301788,103.612907,170.409225,300.970459,565.584045,152.497635
2016-11-01,224.184448,103.449745,113.978668,234.678131,209.739471,111.030838,171.570862,272.441986,557.176086,158.946472
2016-12-01,217.93689,106.969109,120.798073,225.619781,217.993713,112.119713,174.963562,263.177612,559.3396,149.615616
2017-01-01,224.620316,114.020004,136.164932,237.682907,232.833374,117.29184,168.897278,287.588593,565.780579,182.158737
2017-02-01,233.846313,125.89328,143.09581,244.222565,236.532013,110.894737,180.255417,295.823547,573.99176,171.862625
2017-03-01,212.597458,124.594482,148.919052,244.664474,252.860077,114.722961,191.013138,332.930237,583.087891,173.011749
2017-04-01,213.638458,140.129547,171.357513,246.122635,250.785248,113.686295,183.068176,321.263916,548.178406,182.940155
2017-05-01,202.749969,136.840744,167.229813,288.498169,281.276398,110.714561,198.347,332.34198,507.761871,178.20578
2017-06-01,188.618088,119.471222,149.998672,282.060089,291.96637,109.850685,191.383545,355.919617,546.359131,186.985046
2017-07-01,192.363434,124.528381,143.164612,296.474792,261.212585,113.478958,213.681396,388.124451,550.784241,205.685562
2017-08-01,183.328293,125.040703,177.062302,292.016937,258.465424,116.623482,221.570816,386.502014,564.388062,236.50354
2017-09-01,209.159515,139.49852,156.323227,271.001129,236.53363,115.725075,207.606888,370.567871,578.401428,230.972122
2017-10-01,221.20636,154.861481,162.17804,294.025452,243.310074,126.882355,217.829803,423.2883,619.356384,240.268661
2017-11-01,212.982056,155.926727,153.590988,301.324615,234.473221,126.812347,216.237122,391.469147,593.007141,236.921906
2017-12-01,203.058884,166.32962,151.65892,307.644073,241.066513,123.907196,232.793823,398.993622,600.507263,250.82016
2018-01-01,231.322601,159.322235,162.997726,345.805695,248.529709,119.181892,225.719238,421.812958,584.372009,269.552673
2018-02-01,238.736038,154.761917,148.048447,306.909241,242.714813,114.281631,217.611969,401.649323,581.904846,290.237457
2018-03-01,218.773804,148.188019,144.651413,272.715698,233.969589,120.791832,208.953568,348.28949,538.2854,267.879333
2018-04-01,233.102478,146.631958,132.9384,278.447266,257.732849,122.535713,207.169876,400.616547,599.421692,302.137024
2018-05-01,242.303879,158.268692,142.603668,280.014862,248.758652,119.261459,194.646774,385.715149,517.906616,308.551605
2018-06-01,216.212799,153.465149,127.778137,269.825378,248.422745,113.638268,194.349487,367.026917,608.550232,303.810333
2018-07-01,213.554596,169.206314,134.617554,298.091431,277.819122,110.221649,205.423309,393.19046,632.92572,307.157104
2018-08-01,233.879501,167.875748,127.409538,339.417877,298.489899,122.073051,223.892105,378.762573,653.452576,376.20697
2018-09-01,217.766815,171.615356,127.202057,304.064575,277.865784,118.763206,240.80014,325.133789,648.59198,362.254059
2018-10-01,217.684998,169.464493,114.842674,353.2742,261.39447,115.278732,246.151245,315.198883,623.998901,322.151215
2018-11-01,200.30455,155.336792,111.649139,353.423462,266.713806,101.306641,241.283234,361.462982,536.336548,298.279388
2018-12-01,196.910263,163.147766,113.681389,358.399139,262.840973,107.624779,245.891129,383.260498,515.164795,291.160522
