Date,Expiry,Strike Price,Call Price,Put Price
1-Jan-2019,28-Mar-2019,8000,2952.75,2.1
2-Jan-2019,28-Mar-2019,8000,2828.05,2.5
3-Jan-2019,28-Mar-2019,8000,2710.1,3
4-Jan-2019,28-Mar-2019,8000,2768.45,2.9
7-Jan-2019,28-Mar-2019,8000,2799.3,2.9
8-Jan-2019,28-Mar-2019,8000,2841.95,2.85
9-Jan-2019,28-Mar-2019,8000,2867.1,2.5
10-Jan-2019,28-Mar-2019,8000,2861.7,2.95
11-Jan-2019,28-Mar-2019,8000,2833.45,2.75
14-Jan-2019,28-Mar-2019,8000,2774.2,2.55
15-Jan-2019,28-Mar-2019,8000,2933.5,2.55
16-Jan-2019,28-Mar-2019,8000,2928.05,2.2
17-Jan-2019,28-Mar-2019,8000,2943.8,2
18-Jan-2019,28-Mar-2019,8000,2960.25,4.4
21-Jan-2019,28-Mar-2019,8000,2988.45,2.85
22-Jan-2019,28-Mar-2019,8000,2958.35,3.2
23-Jan-2019,28-Mar-2019,8000,2875.2,2.85
24-Jan-2019,28-Mar-2019,8000,2889.5,2.9
25-Jan-2019,28-Mar-2019,8000,2800.75,2.7
28-Jan-2019,28-Mar-2019,8000,2702.25,2.8
29-Jan-2019,28-Mar-2019,8000,2710.25,2.6
30-Jan-2019,28-Mar-2019,8000,2659.7,2.35
31-Jan-2019,28-Mar-2019,8000,2835.75,2.05
1-Feb-2019,28-Mar-2019,8000,2893.85,2.1
4-Feb-2019,28-Mar-2019,8000,2920.45,1.95
5-Feb-2019,28-Mar-2019,8000,2944.15,2.15
6-Feb-2019,28-Mar-2019,8000,3077.3,1.75
7-Feb-2019,28-Mar-2019,8000,3087.6,1.75
8-Feb-2019,28-Mar-2019,8000,2937.8,1.85
11-Feb-2019,28-Mar-2019,8000,2914.25,1.8
12-Feb-2019,28-Mar-2019,8000,2864.7,1.7
13-Feb-2019,28-Mar-2019,8000,2826.65,1.95
14-Feb-2019,28-Mar-2019,8000,2782.05,1.75
15-Feb-2019,28-Mar-2019,8000,2753.75,1.8
18-Feb-2019,28-Mar-2019,8000,2668.85,2.15
19-Feb-2019,28-Mar-2019,8000,2633,2.8
20-Feb-2019,28-Mar-2019,8000,2766.45,2
21-Feb-2019,28-Mar-2019,8000,2809.95,2
22-Feb-2019,28-Mar-2019,8000,2813.8,1.7
25-Feb-2019,28-Mar-2019,8000,2900.2,1.7
26-Feb-2019,28-Mar-2019,8000,2845.25,1.75
27-Feb-2019,28-Mar-2019,8000,2815.85,1.95
