Date,Expiry,Strike Price,Call Price,Put Price
01-Jan-2019,28-Mar-2019,500,46.4,14.6
02-Jan-2019,28-Mar-2019,500,40.6,17.4
03-Jan-2019,28-Mar-2019,500,38.25,17.3
04-Jan-2019,28-Mar-2019,500,37.55,16.3
07-Jan-2019,28-Mar-2019,500,37.1,14.85
08-Jan-2019,28-Mar-2019,500,35.95,14.2
09-Jan-2019,28-Mar-2019,500,32.95,14.8
10-Jan-2019,28-Mar-2019,500,34.3,13.15
11-Jan-2019,28-Mar-2019,500,31.6,13.6
14-Jan-2019,28-Mar-2019,500,31.65,12.15
15-Jan-2019,28-Mar-2019,500,33.05,10.65
16-Jan-2019,28-Mar-2019,500,30.15,11.3
17-Jan-2019,28-Mar-2019,500,28.25,11.4
18-Jan-2019,28-Mar-2019,500,27.4,10.85
21-Jan-2019,28-Mar-2019,500,26.2,10.15
22-Jan-2019,28-Mar-2019,500,24.25,10.4
23-Jan-2019,28-Mar-2019,500,25.1,9.2
24-Jan-2019,28-Mar-2019,500,20.4,13.15
25-Jan-2019,28-Mar-2019,500,24.8,10.75
28-Jan-2019,28-Mar-2019,500,18.6,20.35
29-Jan-2019,28-Mar-2019,500,27.25,16.2
30-Jan-2019,28-Mar-2019,500,26.85,15.15
31-Jan-2019,28-Mar-2019,500,35.05,11.95
01-Feb-2019,28-Mar-2019,500,37.2,10.2
04-Feb-2019,28-Mar-2019,500,29.5,14.5
05-Feb-2019,28-Mar-2019,500,27.65,14.35
06-Feb-2019,28-Mar-2019,500,51.85,11.7
07-Feb-2019,28-Mar-2019,500,49.35,11.35
08-Feb-2019,28-Mar-2019,500,49.35,10.25
11-Feb-2019,28-Mar-2019,500,55.5,7.6
12-Feb-2019,28-Mar-2019,500,54.65,6.9
13-Feb-2019,28-Mar-2019,500,54.05,6.2
14-Feb-2019,28-Mar-2019,500,60.85,5.7
15-Feb-2019,28-Mar-2019,500,46.1,9.0
18-Feb-2019,28-Mar-2019,500,49.6,4.6
19-Feb-2019,28-Mar-2019,500,47.75,8.25
20-Feb-2019,28-Mar-2019,500,48.4,6.0
21-Feb-2019,28-Mar-2019,500,51.8,2.75
22-Feb-2019,28-Mar-2019,500,47.7,5.0
25-Feb-2019,28-Mar-2019,500,53.3,1.8
26-Feb-2019,28-Mar-2019,500,54.6,2.75
27-Feb-2019,28-Mar-2019,500,55.7,2.0
28-Feb-2019,28-Mar-2019,500,57.95,2.6
01-Mar-2019,28-Mar-2019,500,54.85,2.85
05-Mar-2019,28-Mar-2019,500,51.4,2.15
06-Mar-2019,28-Mar-2019,500,50.15,2.0
07-Mar-2019,28-Mar-2019,500,44.05,2.0
08-Mar-2019,28-Mar-2019,500,42.5,2.15
11-Mar-2019,28-Mar-2019,500,42.15,1.6
12-Mar-2019,28-Mar-2019,500,40.65,1.95
13-Mar-2019,28-Mar-2019,500,34.75,2.5
14-Mar-2019,28-Mar-2019,500,34.5,1.85
15-Mar-2019,28-Mar-2019,500,34.15,1.45
18-Mar-2019,28-Mar-2019,500,35.6,1.5
19-Mar-2019,28-Mar-2019,500,34.6,1.15
20-Mar-2019,28-Mar-2019,500,34.1,1.3
22-Mar-2019,28-Mar-2019,500,27.15,1.55
25-Mar-2019,28-Mar-2019,500,25.65,0.7
26-Mar-2019,28-Mar-2019,500,29.5,0.45
27-Mar-2019,28-Mar-2019,500,25.6,0.2
28-Mar-2019,28-Mar-2019,500,0.0,0.0
01-Jan-2019,28-Mar-2019,510,40.25,18.3
02-Jan-2019,28-Mar-2019,510,34.9,21.55
03-Jan-2019,28-Mar-2019,510,32.65,21.55
04-Jan-2019,28-Mar-2019,510,31.9,20.45
07-Jan-2019,28-Mar-2019,510,31.3,18.9
08-Jan-2019,28-Mar-2019,510,30.15,18.2
09-Jan-2019,28-Mar-2019,510,27.35,19.05
10-Jan-2019,28-Mar-2019,510,28.45,17.15
11-Jan-2019,28-Mar-2019,510,25.95,17.75
14-Jan-2019,28-Mar-2019,510,25.85,16.15
15-Jan-2019,28-Mar-2019,510,27.0,14.45
16-Jan-2019,28-Mar-2019,510,24.3,15.3
17-Jan-2019,28-Mar-2019,510,22.5,15.5
18-Jan-2019,28-Mar-2019,510,21.6,14.95
21-Jan-2019,28-Mar-2019,510,20.45,14.2
22-Jan-2019,28-Mar-2019,510,18.6,14.65
23-Jan-2019,28-Mar-2019,510,19.25,13.2
24-Jan-2019,28-Mar-2019,510,15.4,18.05
25-Jan-2019,28-Mar-2019,510,19.2,15.0
28-Jan-2019,28-Mar-2019,510,14.4,26.0
29-Jan-2019,28-Mar-2019,510,22.05,20.9
30-Jan-2019,28-Mar-2019,510,21.55,19.75
31-Jan-2019,28-Mar-2019,510,29.0,15.8
01-Feb-2019,28-Mar-2019,510,30.85,13.7
04-Feb-2019,28-Mar-2019,510,24.0,18.9
05-Feb-2019,28-Mar-2019,510,22.25,18.85
06-Feb-2019,28-Mar-2019,510,45.15,14.95
07-Feb-2019,28-Mar-2019,510,42.7,14.65
08-Feb-2019,28-Mar-2019,510,42.55,13.35
11-Feb-2019,28-Mar-2019,510,48.2,10.2
12-Feb-2019,28-Mar-2019,510,47.25,9.4
13-Feb-2019,28-Mar-2019,510,46.55,8.6
14-Feb-2019,28-Mar-2019,510,45.25,8.05
15-Feb-2019,28-Mar-2019,510,42.7,7.9
18-Feb-2019,28-Mar-2019,510,41.85,6.75
19-Feb-2019,28-Mar-2019,510,39.95,6.5
20-Feb-2019,28-Mar-2019,510,40.4,5.6
21-Feb-2019,28-Mar-2019,510,43.5,6.8
22-Feb-2019,28-Mar-2019,510,39.55,6.75
25-Feb-2019,28-Mar-2019,510,44.65,4.5
26-Feb-2019,28-Mar-2019,510,45.75,2.5
27-Feb-2019,28-Mar-2019,510,46.7,2.0
28-Feb-2019,28-Mar-2019,510,48.75,1.45
01-Mar-2019,28-Mar-2019,510,45.65,1.5
05-Mar-2019,28-Mar-2019,510,42.15,1.25
06-Mar-2019,28-Mar-2019,510,40.8,3.75
07-Mar-2019,28-Mar-2019,510,35.0,2.95
08-Mar-2019,28-Mar-2019,510,33.4,3.1
11-Mar-2019,28-Mar-2019,510,32.75,2.6
12-Mar-2019,28-Mar-2019,510,31.25,2.6
13-Mar-2019,28-Mar-2019,510,25.7,3.95
14-Mar-2019,28-Mar-2019,510,25.3,2.8
