Date,Expiry,Strike Price,Call Price,Put Price
01-Jan-2019,28-Mar-2019,300,70.05,1.1
02-Jan-2019,28-Mar-2019,300,70.65,0.9
03-Jan-2019,28-Mar-2019,300,69.2,0.8
04-Jan-2019,28-Mar-2019,300,70.9,0.6
07-Jan-2019,28-Mar-2019,300,73.05,0.45
08-Jan-2019,28-Mar-2019,300,85.5,0.5
09-Jan-2019,28-Mar-2019,300,87.45,0.4
10-Jan-2019,28-Mar-2019,300,84.6,0.35
11-Jan-2019,28-Mar-2019,300,83.55,0.3
14-Jan-2019,28-Mar-2019,300,78.25,0.35
15-Jan-2019,28-Mar-2019,300,77.55,0.3
16-Jan-2019,28-Mar-2019,300,79.95,0.2
17-Jan-2019,28-Mar-2019,300,79.15,0.2
18-Jan-2019,28-Mar-2019,300,76.45,0.2
21-Jan-2019,28-Mar-2019,300,75.95,0.15
22-Jan-2019,28-Mar-2019,300,73.2,0.15
23-Jan-2019,28-Mar-2019,300,71.5,0.1
24-Jan-2019,28-Mar-2019,300,68.85,0.1
25-Jan-2019,28-Mar-2019,300,61.35,0.3
28-Jan-2019,28-Mar-2019,300,49.05,1.8
29-Jan-2019,28-Mar-2019,300,51.85,1.4
30-Jan-2019,28-Mar-2019,300,71.1,1.7
31-Jan-2019,28-Mar-2019,300,69.45,1.5
01-Feb-2019,28-Mar-2019,300,60.55,4.0
04-Feb-2019,28-Mar-2019,300,59.8,2.0
05-Feb-2019,28-Mar-2019,300,57.7,1.9
06-Feb-2019,28-Mar-2019,300,63.75,1.35
07-Feb-2019,28-Mar-2019,300,62.9,1.2
08-Feb-2019,28-Mar-2019,300,59.25,1.25
11-Feb-2019,28-Mar-2019,300,54.15,1.35
12-Feb-2019,28-Mar-2019,300,48.75,1.75
13-Feb-2019,28-Mar-2019,300,44.4,2.05
14-Feb-2019,28-Mar-2019,300,48.0,1.5
15-Feb-2019,28-Mar-2019,300,46.05,2.9
18-Feb-2019,28-Mar-2019,300,42.5,2.9
19-Feb-2019,28-Mar-2019,300,46.5,2.1
20-Feb-2019,28-Mar-2019,300,49.5,2.0
21-Feb-2019,28-Mar-2019,300,53.9,1.35
22-Feb-2019,28-Mar-2019,300,54.45,1.3
25-Feb-2019,28-Mar-2019,300,57.0,1.0
26-Feb-2019,28-Mar-2019,300,53.5,1.25
27-Feb-2019,28-Mar-2019,300,49.0,1.7
28-Feb-2019,28-Mar-2019,300,51.0,1.05
01-Mar-2019,28-Mar-2019,300,55.9,0.65
05-Mar-2019,28-Mar-2019,300,64.65,0.4
06-Mar-2019,28-Mar-2019,300,73.25,0.3
07-Mar-2019,28-Mar-2019,300,69.5,0.25
08-Mar-2019,28-Mar-2019,300,71.8,0.2
11-Mar-2019,28-Mar-2019,300,76.85,0.15
12-Mar-2019,28-Mar-2019,300,80.2,0.1
13-Mar-2019,28-Mar-2019,300,86.85,0.1
14-Mar-2019,28-Mar-2019,300,88.75,0.1
15-Mar-2019,28-Mar-2019,300,96.1,0.1
18-Mar-2019,28-Mar-2019,300,94.05,0.1
19-Mar-2019,28-Mar-2019,300,98.95,0.1
20-Mar-2019,28-Mar-2019,300,70.0,0.1
22-Mar-2019,28-Mar-2019,300,93.0,0.05
25-Mar-2019,28-Mar-2019,300,85.75,0.05
26-Mar-2019,28-Mar-2019,300,92.5,0.05
27-Mar-2019,28-Mar-2019,300,96.25,0.05
28-Mar-2019,28-Mar-2019,300,0.0,0.0
01-Jan-2019,28-Mar-2019,310,61.05,1.9
02-Jan-2019,28-Mar-2019,310,61.55,1.6
03-Jan-2019,28-Mar-2019,310,60.05,1.5
04-Jan-2019,28-Mar-2019,310,61.65,1.2
07-Jan-2019,28-Mar-2019,310,63.65,0.9
08-Jan-2019,28-Mar-2019,310,76.1,0.95
09-Jan-2019,28-Mar-2019,310,77.95,0.7
10-Jan-2019,28-Mar-2019,310,75.1,0.7
11-Jan-2019,28-Mar-2019,310,74.05,0.6
14-Jan-2019,28-Mar-2019,310,68.75,0.75
15-Jan-2019,28-Mar-2019,310,68.0,0.65
16-Jan-2019,28-Mar-2019,310,70.35,0.45
17-Jan-2019,28-Mar-2019,310,69.5,0.4
18-Jan-2019,28-Mar-2019,310,66.85,0.4
